date,no2,o3,co,so2,pm10,pm25,코막힘,인후염,기관지염,알레르기비염,호흡기질환,감기약,비염약,기침약,콧물약,알레르기약
2023-04-21,0.014136,0.036692,0.35359999999999997,0.0026653061224489794,55.86,14.5,20.03352,76.94886,70.41072,58.17267,9.55574,19.89565,29.1826,19.02608,10.22608,17.56521
2023-04-22,0.013866,0.039262,0.28914893617021276,0.00262,54.42,12.06,22.17099,70.24308,56.66387,66.9321,7.37636,19.5826,35.7913,15.16521,9.9826,22.33043
2023-04-23,0.016,0.035156,0.35312499999999997,0.0027899999999999995,53.52,14.76,23.84744,59.30427,53.31098,68.31517,9.72338,18.22608,31.51304,16.90434,12.24347,20.17391
2023-04-24,0.016482,0.040244,0.3395918367346939,0.002988,50.94,15.12,25.81726,100.0,86.54652,93.75523,12.95054,24.41739,43.68695,23.06086,11.61739,26.92173
2023-04-25,0.021842,0.030654,0.3778,0.0028179999999999998,32.92,14.88,24.47611,80.80469,71.91953,64.58507,11.56747,22.92173,33.14782,21.73913,10.05217,17.28695
2023-04-26,0.01505,0.037478,0.3551020408163265,0.002402,27.62,13.2,20.20117,78.16429,67.47694,47.7787,8.04694,28.8,24.97391,19.40869,9.1826,13.56521
2023-04-27,0.027274,0.032478,0.4792,0.002828,37.86,21.26,21.0813,76.99077,69.74015,43.50377,7.66974,27.75652,24.41739,17.70434,7.51304,13.14782
2023-04-28,0.027223999999999998,0.035584,0.48219999999999996,0.00308,35.56,16.36,19.40486,74.35037,65.00419,39.60603,11.56747,20.27826,23.23478,18.43478,8.31304,12.34782
2023-04-29,0.014336,0.032296,0.401875,0.0023673469387755102,26.32,12.12,17.56077,59.09471,56.16093,30.34367,6.37049,19.02608,16.73043,15.37391,6.95652,12.27826
2023-04-30,0.011137999999999999,0.045473999999999994,0.35693877551020403,0.0025579999999999995,38.34,13.04,15.59094,49.95808,41.7435,32.14585,5.07124,17.77391,15.40869,16.69565,6.60869,10.4
2023-05-01,0.015384,0.04026458333333333,0.3736734693877551,0.00265,43.36,16.94,21.66806,72.2129,64.6689,42.07879,8.34031,19.68695,20.55652,17.25217,8.41739,12.3826
2023-05-02,0.028072,0.03264285714285714,0.4214,0.00299,31.54,12.22,22.5901,86.46269,73.38642,46.73093,10.10058,23.26956,22.43478,16.76521,7.65217,13.80869
2023-05-03,0.026882000000000003,0.03832244897959183,0.44780000000000003,0.003312,40.42,16.96,20.82984,79.25398,70.20117,43.75523,10.1844,20.34782,23.51304,16.0,8.31304,12.31304
2023-05-04,0.018841999999999998,0.041449999999999994,0.3974468085106383,0.0027571428571428573,43.02,21.44,20.15926,79.42162,67.97988,34.32523,8.13076,22.05217,22.22608,17.84347,7.82608,11.75652
2023-05-05,0.01158,0.022012,0.35702127659574473,0.002342857142857143,10.8,4.52,17.01592,52.59849,47.15004,34.28331,5.36462,15.96521,14.08695,15.30434,6.1913,8.31304
2023-05-06,0.008289999999999999,0.040258,0.3278723404255319,0.002171428571428571,13.4,7.408163265306122,13.57921,56.0352,49.37133,24.43419,4.81978,18.74782,13.73913,15.09565,6.33043,10.33043
2023-05-07,0.012318,0.038286,0.3504255319148936,0.002236,31.877551020408163,23.78723404255319,16.09388,53.60435,45.80888,26.06873,6.24476,18.9913,13.35652,17.56521,5.28695,8.90434
